,News,All,SVO
0,20150910_800,富晶8月營收0.29億元年減32.96% 1— 8月達2.35億元富晶(3475-TW)2015年 8月營收資料(單位:千元),[]
0,20150910_801,中橡8月營收14.93億元年減19.83% 1— 8月達117.82億元中橡()2015年 8月營收資料(單位:千元),[]
0,20150910_802,泰豐輪胎8月營收6.22億元年增10.63% 1— 8月達52.21億元泰豐輪胎()2015年 8月營收資料(單位:千元),[]
0,20150910_803,官田鋼8月營收3.93億元年減30.38% 1— 8月達35.13億元官田鋼()2015年 8月營收資料(單位:千元),[]
0,20150910_804,惠譽：人幣貶值或拖累港銀盈利能力投資評級機構惠譽表示，近期貶值或會拖累本港銀行的盈利能力、增長及資產質素。而離岸融資成本上升，及流動性短缺，對淨息差有負面影響。同時，內地經濟增長放緩，亦會抑制香港銀行跨境借貸需求，貶值亦會降低以美元及港元借貸的內地企業之還款能力。(ka/u)~阿思達克財經新聞網址: www.aastocks.com,"[['人幣', '貶值', '盈利能力投資評級機構惠譽表示'], ['內地經濟增長放緩', '抑制', '借貸需求'], ['貶值', '降低', '以還款能力']]"
0,20150910_805,《匯市》14:00美元/日圓 報120.79元，漲39.60分或0.33%《匯市》14:00美元/ 報120.79元，漲39.60分或0.33%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['00美元日圓', '報', '120.79元'], ['導致結果', '承擔', '任何責任']]"
0,20150910_806,泰藝電子8月營收1.27億元年減6.63% 1— 8月達10.73億元泰藝電子()2015年 8月營收資料(單位:千元),[]
0,20150910_807,研通8月營收0.96億元年增2.59% 1— 8月達5.53億元研通()2015年 8月營收資料(單位:千元),[]
0,20150910_808,海韻電8月營收1.38億元年減32.99% 1— 8月達11.10億元海韻電()2015年 8月營收資料(單位:千元),[]
0,20150910_809,龍巖8月營收3.36億元年減35.40% 1— 8月達24.37億元龍巖()2015年 8月營收資料(單位:千元),[]
0,20150910_810,系通科技8月營收0.20億元年增36.37% 1— 8月達1.27億元系通科技()2015年 8月營收資料(單位:千元),[]
0,20150910_811,世禾8月營收1.16億元年減15.12% 1— 8月達9.40億元世禾()2015年 8月營收資料(單位:千元),"[['世禾', '營收', '單位資料']]"
0,20150910_812,祥業科技8月營收0.16億元年減56.87% 1— 8月達1.28億元祥業科技()2015年 8月營收資料(單位:千元),[]
0,20150910_813,高林實8月營收6.12億元年減5.68% 1— 8月達40.04億元高林實()2015年 8月營收資料(單位:千元),[]
0,20150910_814,味王公司8月營收6.37億元年增5.90% 1— 8月達45.23億元味王公司()2015年 8月營收資料(單位:千元),[]
0,20150910_815,政風處主秘上班炒股　柯文哲：用膝蓋想也知不對記者邱明玉／台北報導台北市政風處主秘林惠琴昨上午傳LINE訊息到北市府內部公用群組，訊息內容竟是「6269台郡買三張，分批，上市零組件」，隨即發現誤傳群組後，趕忙補上一句「賴錯致歉」，下午即遭政風處記過。對此，台北市長柯文哲今（10）日表示，這種行為「用膝蓋想也知道不對」，但還是尊重每個單位的考紀委員會，不會做太多的干擾。柯文哲表示，他是在報紙上看到的，因為他很忙，昨天晚上還在開成功市場的協調會，今早看報紙才知道。柯文哲開玩笑說，「這表示他（林惠琴）控制手機的技術不好，按都按錯」，對於林上班傳股票訊息的行為，柯文哲說，「這怎麼會是應該的，用膝蓋想也知道不對」，至於林遭記過處分，柯表示，還是尊重每個單位的考紀委員會，不要做太多的干擾。柯文哲指出，這個會去做系統性的檢討，不要以個案處理，雖然這樣做不好，「但也不要逮到機會就把人家毒打一頓」，應該還是要從整個制度去考量。,"[['報導臺北市政風處主祕林惠琴', '傳', 'LINE訊息'], ['訊息內容', '竟是', '6269臺郡買三張'], ['6269臺郡', '買', '三張'], ['臺北市長柯文哲', '表示', '還是'], ['這種行爲', '還是', '考紀委員會'], ['柯文哲', '表示', '他是看到的'], ['他', '是', '看到的'], ['他', '忙', '開成功市場協調會'], ['柯文哲', '說', '這表示'], ['）', '控制', '手機'], ['柯文哲', '說', '這是應該的'], ['這', '是', '應該的'], ['林遭', '記過', '處分'], ['柯', '表示', '尊重考紀委員會'], ['柯文哲', '指出', '這個做系統性檢討'], ['這個', '做', '系統性檢討']]"
0,20150910_816,中鋼10月前針對中、韓進口鋼板提出反傾銷控訴中鋼()表示，為避免國內產業受到不公平進口貿易傷害，公司正積極準備資料，將於適當時機提出反傾銷控訴。中鋼指出，目前全球各國為保護其國內產業，紛提出反傾銷控告等貿易救濟措施，美國甚至修改相關法令，使產業損害判定更容易成立，以避免國內產業受到進口品傷害，但台灣卻屢受傾銷之害。中鋼表示，各國保護措施造成我國鋼品外銷遭逢困境，內銷又受被告傾銷國家鋼品大量轉移台灣低價傾銷，加上台灣鋼鐵進口零關稅，是全球最自由開放的市場之一，導致韓國、中國、印尼、印度等國家持續將過剩鋼材，以不公平的超低價格傾銷到台灣，為確保鋼鐵產業利益，才會決定提出訴訟。據了解，中鋼規劃最遲10月前，針對中國及韓國的進口鋼板提出反傾銷控訴，這也是近年台灣首度針對國外鋼品提出反傾銷制裁。中鋼公告8月營收僅226.28億元，較去年同期下滑26.46%，創今年單月營收年減率最高幅度紀錄，累計中鋼今年前8月營收為2009.38億元，較去年同期衰退18.32%。由於營收下滑，加上鋼品報價又持續走跌，法人預期中鋼獲利恐將續下滑。,"[['中鋼', '提出', ')中鋼'], ['國內產業', '受到', '進口貿易傷害'], ['公司', '準備', '資料'], ['中鋼', '指出', '使'], ['全球各國', '提出', '救濟措施'], ['美國', '修改', '相關法令'], ['國內產業', '受到', '進口品傷害'], ['臺灣', '受', '傾銷害'], ['中鋼', '表示', '保護措施造成我國鋼品外銷遭逢困境'], ['保護措施', '造成', '我國鋼品外銷遭逢困境'], ['受被告傾銷國家鋼品', '轉移', '臺灣'], ['等韓國國家', '過剩', '鋼材'], ['這', '也是', '臺灣首度提出反傾銷制裁'], ['臺灣首度', '提出', '反傾銷制裁'], ['前8月營收', '爲', '2009.38億元'], ['法人', '預期', '中鋼獲利恐下滑']]"
0,20150910_817,李克強：年底前建成人民幣跨境支付系統中新社大連9月10日電 (記者 郭金超)中國國務院總理李克強10日在大連表示，中國在年底前將建成跨境支付系統，以利于離岸市場更好地發展。當天，李克強在大連出席2015年夏季達沃斯論壇開幕式并發表特別致辭。,"[['10日', '表示', '中國建成支付系統'], ['中國', '建成', '支付系統'], ['中國', '建成以', '利於離岸市場發展'], ['李克強', '出席', '夏季達沃斯論壇開幕式']]"
0,20150910_818,《股市》13:45台期指09 報8262.00點，跌-72.00點或-0.86%《股市》13:45台期指09 報8262.00點，跌-72.00點或-0.86%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['導致結果', '承擔', '任何責任']]"
0,20150910_819,台灣加權指數10日收盤跌18.24點或0.22% 報8268.68點台灣10日收盤跌18.24點或0.22%，報8268.68點，成交金額850.74億元。,[]
0,20150910_820,迅得機械積極參展爭取跨界客戶 8月營收年增率達10%迅得機械積極參展爭取跨界客戶， 8月營收年增率達10.7%；圖左為迅得總經理王年清，右為董事長官錦堃。(鉅亨網記者張欽發攝)PCB及自動化設備廠迅得機械()2015年上半年經會計師核閱營收13.06億元，每股稅後盈餘達 2.98元，同時，以迅得機械接單狀況來看，2015年下半年審慎樂觀面對，而8月營收出爐並達2.15億元，也較去年同月成長10.7%。迅得機械除參加貿協南港展覽館參加2015年觸控展，同時，也將在10月21-23日TPCA展中展出新開發的設備，積極開發各產業自動化市場的客戶及需求。迅得機械並將於今年10月21-23日TPCA展中，率先示範展出面積81平方米的動態無人智慧工廠，提升製造業之產業競爭力。迅得機械2015年8月營收2.15億元，較上月成長4.3%，1-8月營收17.27億元，較去年同期成長21.6%。且依迅得機械在手訂單顯示，2015年下半年的平均每月業績者將維持2億元以上的水準。迅得機械主管表示，以接單狀況來看2015年下半年審慎樂觀面對，尤其半導體業為了提升良率，對於智能自動化之要求，已經從晶片製造延伸至對IC封裝甚至於IC載板，因此迅得機械與上銀()共同開發的專用型6軸機器人、與搭配RGV智慧化軌道車之物流系統，在高階板廠與半導體封裝產業之應用，已開始正式出貨，並挹注營收貢獻，今年也將有機會繼續挑戰業績新高。設備廠迅得機械已積極布局經濟部提出的生產力4.0方案，開發一系列智慧工廠需求之智能化倉儲系統、AGV智能自走車、RGV智能軌道車系統與機器人及資訊流蒐集整合產品，可依照客戶需求規劃，為產業建構高效率與競爭力的智慧工廠。,"[['機械', '參展', '爭取積極參展'], ['左圖', '爲', '總經理王年清'], ['右', '爲', '董事長官錦堃'], ['會計師', '核閱', '得機械'], ['營收出爐', '達', '2.15億元'], ['機械', '展出', '開發設備'], ['每月業績者', '維持', '2億元以上水準'], ['機械主管', '表示', '來看面對'], ['與', '搭配', '軌道車'], ['設備廠', '得', '機械佈局4.0方案'], ['機械', '佈局', '4.0方案']]"
0,20150910_821,啟耀：公告本公司104年8月自結報表部份財務比率資訊第三十四條　第42款1.事實發生日:104/09/102.公司名稱:啟耀光電股份有限公司。3.與公司關係(請輸入本公司或聯屬公司):本公司。4.相互持股比例(若前項為本公司，請填不適用):不適用。5.發生緣由:依財團法人中華民國證券櫃檯買賣中心100年11月9日證櫃監字第1000201053號函辦理。6.因應措施:不適用。7.其他應敘明事項:本公司104年8月自結報表部份財務比率。(1)負債比率  56%(2)流動比率 102%(3)速動比率  98%,"[['前項', '爲', '本公司']]"
0,20150910_822,晶積8月營收0.45億元年增12.81% 1— 8月達4.47億元晶積(4941-TW)2015年 8月營收資料(單位:千元),[]
0,20150910_823,【個股信息】金貴銀業全體高管斥730萬增持91萬股9月10日，金貴銀業(002716--CN)周四午間公告稱，公司全體董事、監事和高級管理人員於9月1日至9月9日增持了公司股份90.89萬股，共計耗資730.08萬元。　　更多精彩內容 請登陸財華智庫網 () 財華香港網 ()或現代電視 (),"[['全體高管', '斥', '730萬'], ['全體董事', '增持', '90.89萬股'], ['精彩內容', '請', '登陸']]"
0,20150910_824,《股市》13:01E-Mini S&P500指數 報1944.75點，漲2.00點或0.10%《股市》13:01E-Mini 指數 報1944.75點，漲2.00點或0.10%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['MiniS&P500指數', '報', '1944.75點'], ['1944.75點', '漲', '2.00點'], ['導致結果', '承擔', '任何責任']]"
0,20150910_825,《股市》13:00台股店頭 報114.08點，漲0.90點或0.80%《股市》13:00台股店頭 報114.08點，漲0.90點或0.80%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['導致結果', '承擔', '任何責任']]"
0,20150910_826,《股市》13:00台股加權 報8252.87點，跌-34.05點或-0.41%《股市》13:00台股加權 報8252.87點，跌-34.05點或-0.41%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['導致結果', '承擔', '任何責任']]"
0,20150910_827,《股市》13:00台期指09 報8259.00點，跌-75.00點或-0.90%《股市》13:00台期指09 報8259.00點，跌-75.00點或-0.90%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['導致結果', '承擔', '任何責任']]"
0,20150910_828,《期貨》12:59近月芝加哥黃豆每英斗872.75美分，漲0.50美分或0.06%《期貨》12:59近月芝加哥黃豆每英斗872.75美分，漲0.50美分或0.06%。免責聲明：本文所載資料僅供參考，並不構成投資建議，鉅亨網對該資料或使用該資料所導致的結果概不承擔任何責任。該資訊若與事實不符，應以商品原交易所之公佈為主。,"[['導致結果', '承擔', '任何責任']]"
