,HighGroup,LowGroup
2013-03-31,1.0,1.0
2013-04-01,0.999779145865511,0.9875045780140471
2013-04-02,0.9981831659545598,1.0026980110627115
2013-04-03,1.011489489451586,1.0061022155946333
2013-04-04,1.0,1.0
2013-04-05,1.0,1.0
2013-04-06,1.0,1.0
2013-04-07,1.0,1.0
2013-04-08,0.97613428710803,0.9784991834556097
2013-04-09,0.9970706588634418,1.001973648098214
2013-04-10,1.002909940350676,1.0020591403455283
2013-04-11,1.0168592888302819,1.0120221313990598
2013-04-12,1.0023561224716109,0.9938329193941796
2013-04-13,1.0,1.0
2013-04-14,1.0,1.0
2013-04-15,0.9954054636751334,0.9856247822164769
2013-04-16,1.0037212002159468,1.0052594937813983
2013-04-17,1.0063771658296212,1.0033240193061859
2013-04-18,1.002198930793104,0.999903448779427
2013-04-19,1.0200529242973209,1.0094764004583798
2013-04-20,1.0,1.0
2013-04-21,1.0,1.0
2013-04-22,1.0117482054559368,1.0013500370373654
2013-04-23,0.9995461997882054,1.000971610161703
2013-04-24,1.0063385179810478,1.0100064059597802
2013-04-25,1.0041063712504634,0.9944927473463446
2013-04-26,0.9970601702937557,0.9932847600133295
2013-04-27,1.0,1.0
2013-04-28,1.0,1.0
2013-04-29,1.0026303867538495,0.9996508032043433
2013-04-30,1.0101150039301487,1.011665173058395
2013-05-01,1.0,1.0
2013-05-02,1.000297868906852,1.0076565735252492
2013-05-03,0.9970693264992856,0.9905615795159188
2013-05-04,1.0,1.0
2013-05-05,1.0,1.0
2013-05-06,0.9985675668197821,1.002458991650354
2013-05-07,0.9979283663694127,1.0017822934145533
2013-05-08,1.006208563494771,1.0067036164752532
2013-05-09,1.00120824041408,1.0071298050615018
2013-05-10,1.0012491491528914,1.009054390934482
2013-05-11,1.0,1.0
2013-05-12,1.0,1.0
2013-05-13,0.9978546964169192,0.9957466716322961
2013-05-14,1.0051716629825997,1.008602150778779
2013-05-15,1.0043665248755551,1.006905300109665
2013-05-16,1.0110791326543374,1.0048248547958258
2013-05-17,0.9960250515909191,0.9986408629498552
2013-05-18,1.0,1.0
2013-05-19,1.0,1.0
2013-05-20,0.9962550773386164,1.0003166994910502
2013-05-21,1.0055694276811753,0.9990027647486278
2013-05-22,1.0113311343096647,1.0041594912119904
2013-05-23,0.9821098019009211,0.9894863526427263
2013-05-24,0.9942543103596866,0.9930695629704859
2013-05-25,1.0,1.0
2013-05-26,1.0,1.0
2013-05-27,1.0088793241074405,1.0068606537861602
2013-05-28,1.006395402770597,1.0040809906420054
2013-05-29,1.0143023559738784,1.0070459851426137
2013-05-30,0.9897109280110832,0.9923323041721361
2013-05-31,1.0034549583222228,1.0001438321713854
2013-06-01,1.0,1.0
2013-06-02,1.0,1.0
2013-06-03,1.0009939589148227,0.9924886234467906
2013-06-04,0.9947711024003721,0.9944592163905953
2013-06-05,0.9962797823211642,0.9958966418747653
2013-06-06,0.9886533709683215,0.9883698609608085
2013-06-07,0.9901346566306674,0.9907594007008977
2013-06-08,1.0,1.0
2013-06-09,1.0,1.0
2013-06-10,1.0117717118904366,1.0189036599896368
2013-06-11,0.995159360356107,0.9909935809460488
2013-06-12,1.0,1.0
2013-06-13,0.9757275063142243,0.9804126554182189
2013-06-14,1.0002572889664594,1.0002778268305788
2013-06-15,1.0,1.0
2013-06-16,1.0,1.0
2013-06-17,1.0137228279127497,1.01233436129693
2013-06-18,1.0045064631485208,1.0021673522749766
2013-06-19,1.0069642839696384,0.9952948625019846
2013-06-20,0.9859055208648879,0.9893095725111382
2013-06-21,0.9806151489965944,0.9863982656749293
2013-06-22,1.0,1.0
2013-06-23,1.0,1.0
2013-06-24,0.9990466337662944,0.9988909182279638
2013-06-25,0.9804091180558007,0.9766324043920214
2013-06-26,1.0154837996846537,1.019100683050318
2013-06-27,1.011084516423552,1.0072912573439676
2013-06-28,1.0151981808199724,1.0041545525892837
2013-06-29,0.9984375,0.9984347826086956
2013-06-30,1.0,1.0
2013-07-01,1.0102049322413111,1.0134636542680562
2013-07-02,0.9992180975637059,1.000048659926741
2013-07-03,0.9937584370952731,0.9864580664145671
2013-07-04,1.0033361274327908,0.9865795357489902
2013-07-05,1.012413707457216,1.009081228062823
2013-07-06,1.0,1.0
2013-07-07,1.0,1.0
2013-07-08,0.986968656676473,0.9879626505501755
2013-07-09,1.0090581457269108,1.009655887656655
2013-07-10,1.0087967363836092,0.9974248504077117
2013-07-11,1.0239456166035006,1.0183435209032767
2013-07-12,1.0113779199112272,1.0076766762024123
2013-07-13,1.0,1.0
2013-07-14,1.0,1.0
2013-07-15,1.0072138136365505,1.0067268153811264
2013-07-16,1.0004145794447035,1.0101812923738853
2013-07-17,0.9987638100112579,0.9999618092374424
2013-07-18,0.9906279168336478,0.9929562724150242
2013-07-19,1.0001900775942516,0.9901906917679395
2013-07-20,1.0,1.0
2013-07-21,1.0,1.0
2013-07-22,1.0069840688116702,1.006335161750369
2013-07-23,1.0136683889369764,1.0134547833527723
2013-07-24,0.9981891223617438,0.9946049282174928
2013-07-25,0.9935476802701524,0.9893087087143392
2013-07-26,0.995717847121885,1.0004540688378396
2013-07-27,1.0,1.0
2013-07-28,1.0,1.0
2013-07-29,0.9946411100612657,0.989972374783363
2013-07-30,1.011381055101299,1.013105768823373
2013-07-31,0.988966892945901,0.9851222225045156
2013-08-01,1.0017038018720195,0.9941029019197489
2013-08-02,1.0052808455017161,1.001403036845595
2013-08-03,1.0,1.0
2013-08-04,1.0,1.0
2013-08-05,1.006274706713965,1.0048132225216224
