,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
0,2000-08-02,7910.28,8044.87,7985.83,7916.85,1398000,Y9999
1,2000-08-03,7736.19,7912.4,7888.32,7844.93,1524000,Y9999
2,2000-08-04,7856.6,8029.14,7881.72,7925.2,1538000,Y9999
3,2000-08-05,7834.13,7982.71,7926.79,7841.43,1277000,Y9999
4,2000-08-07,7680.53,7809.44,7804.0,7715.99,1198000,Y9999
5,2000-08-08,7670.28,7818.67,7751.28,7797.78,1384000,Y9999
6,2000-08-09,7866.11,8048.14,7866.11,8048.14,2025000,Y9999
7,2000-08-10,7988.39,8105.63,8087.1,8024.69,1643000,Y9999
8,2000-08-11,7962.05,8082.07,8012.64,7974.65,1315000,Y9999
9,2000-08-14,7838.5,7982.13,7977.42,7848.87,904000,Y9999
10,2000-08-15,7821.74,7913.77,7883.84,7845.69,1019000,Y9999
11,2000-08-16,7870.58,8023.17,7870.58,8003.53,1429000,Y9999
12,2000-08-17,8000.46,8143.25,8059.02,8143.25,1832000,Y9999
13,2000-08-18,8175.35,8276.24,8192.3,8176.82,2361000,Y9999
14,2000-08-19,8145.94,8234.73,8195.25,8209.07,1487000,Y9999
15,2000-08-21,8216.42,8305.67,8232.91,8257.88,1985000,Y9999
16,2000-08-22,8086.66,8244.42,8244.42,8118.05,1577000,Y9999
17,2000-08-24,8090.18,8222.08,8162.0,8098.84,1461000,Y9999
18,2000-08-25,8014.95,8142.47,8120.96,8026.32,1367000,Y9999
19,2000-08-28,7842.53,7985.45,7985.45,7845.87,1128000,Y9999
20,2000-08-29,7621.13,7828.37,7769.93,7817.49,1581000,Y9999
21,2000-08-30,7543.96,7809.35,7784.74,7543.96,1674000,Y9999
22,2000-08-31,7440.81,7661.73,7458.34,7616.98,1883000,Y9999
23,2000-09-01,7381.01,7660.9,7659.82,7420.06,1918000,Y9999
24,2000-09-02,7442.37,7713.03,7442.37,7707.59,2116000,Y9999
25,2000-09-04,7694.71,7814.49,7758.54,7803.02,2136000,Y9999
26,2000-09-05,7723.14,7829.34,7829.34,7785.62,1678000,Y9999
27,2000-09-06,7605.32,7758.45,7725.01,7610.78,1563000,Y9999
28,2000-09-07,7418.52,7520.17,7467.94,7430.93,1490000,Y9999
29,2000-09-08,7360.5,7494.67,7457.86,7367.99,1458000,Y9999
30,2000-09-11,7295.88,7379.85,7297.78,7335.2,1063000,Y9999
31,2000-09-13,7153.23,7407.78,7279.36,7391.66,1496000,Y9999
32,2000-09-14,7149.48,7367.27,7348.81,7152.29,1366000,Y9999
33,2000-09-15,7120.31,7364.46,7160.01,7155.45,1801000,Y9999
34,2000-09-16,7003.6,7129.02,7096.49,7053.29,1656000,Y9999
35,2000-09-18,6902.54,7026.27,6990.48,6910.14,1531000,Y9999
36,2000-09-19,6712.2,6950.04,6811.72,6734.9,2055000,Y9999
37,2000-09-20,6720.34,6910.91,6843.95,6880.09,2481000,Y9999
