,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2005-01-03,3.6255,3.6682,3.6426,3.6511,15102,27623,0.2342,3139
1,2005-01-04,3.6255,3.6511,3.6511,3.6341,34386,27494,-0.4673,3139
2,2005-01-05,3.6255,3.6597,3.6341,3.6426,17294,27558,0.2347,3139
3,2005-01-06,3.5658,3.6511,3.6426,3.6426,7047,27558,0.0,3139
4,2005-01-07,3.5829,3.6511,3.6426,3.6341,11143,27494,-0.2342,3139
5,2005-01-10,3.6341,3.6597,3.6341,3.6597,15649,27687,0.7042,3139
6,2005-01-11,3.6426,3.6682,3.6597,3.6511,9303,27623,-0.2331,3139
7,2005-01-12,3.6426,3.6682,3.6511,3.6426,12474,27558,-0.2336,3139
8,2005-01-13,3.6426,3.6597,3.6426,3.6511,10221,27623,0.2342,3139
9,2005-01-14,3.6426,3.7108,3.6511,3.6511,6856,27623,0.0,3139
10,2005-01-17,3.6426,3.6597,3.6511,3.6426,3702,27558,-0.2336,3139
11,2005-01-18,3.6255,3.6597,3.6426,3.6426,6358,27558,0.0,3139
12,2005-01-19,3.6426,3.6597,3.6426,3.6597,3536,27687,0.4684,3139
13,2005-01-20,3.6426,3.6682,3.6597,3.6426,4417,27558,-0.4662,3139
14,2005-01-21,3.6255,3.6597,3.6426,3.6426,3075,27558,0.0,3139
15,2005-01-24,3.6426,3.6597,3.6426,3.6511,2276,27623,0.2342,3139
16,2005-01-25,3.6426,3.6682,3.6511,3.6682,2465,27752,0.4673,3139
17,2005-01-26,3.6426,3.6767,3.6682,3.6682,2637,27752,0.0,3139
18,2005-01-27,3.6426,3.7535,3.6682,3.6852,431691,27881,0.4651,3139
19,2005-01-28,3.6511,3.6852,3.6852,3.6767,3840,27816,-0.2315,3139
20,2005-01-31,3.6682,3.7364,3.6767,3.6767,11863,27816,0.0,3139
21,2005-02-01,3.6511,3.8388,3.6767,3.7706,21339,28526,2.5522,3139
22,2005-02-02,3.7535,3.7961,3.7706,3.7706,2651,28526,0.0,3139
23,2005-02-03,3.7535,3.7961,3.7706,3.7961,5571,28720,0.6787,3139
24,2005-02-14,3.6682,4.0094,3.7961,3.7535,2924,28397,-1.1236,3139
25,2005-02-15,3.7364,3.7961,3.7535,3.7961,12891,28720,1.1364,3139
26,2005-02-16,3.7364,3.8388,3.7961,3.7706,5436,28526,-0.6742,3139
27,2005-02-17,3.6682,3.8388,3.7706,3.7535,4767,28397,-0.4525,3139
28,2005-02-18,3.7535,3.7961,3.7535,3.7961,2298,28720,1.1364,3139
