,Date,DailyReturn,AccReturn
3786,2015-10-26,-0.017511425233593593,0.516560913452412
3787,2015-10-27,-0.003174321375709468,0.514921183102984
3788,2015-10-28,-0.008165224600129608,0.5107167359915836
3789,2015-10-29,-0.0015391839743438603,0.5099306489761162
3790,2015-10-30,-0.008127598094783285,0.5057861376050263
3791,2015-11-02,-0.006015369662651135,0.5027436470170875
3792,2015-11-03,-0.0015274706799239847,0.5019757208367509
3793,2015-11-04,0.00974671047047213,0.5068683328509532
3794,2015-11-05,-0.013607588978917586,0.4999710769110883
3795,2015-11-06,-0.005769699160818461,0.49708639420820083
3796,2015-11-09,0.015266769720885318,0.5046752977199627
3797,2015-11-10,-0.017865771517748003,0.49565888416024634
3798,2015-11-11,0.010779591321932517,0.5010018843665789
3799,2015-11-12,-0.002919552292824782,0.49953918316636686
3800,2015-11-13,-0.009819463385931638,0.4946339764474265
3801,2015-11-16,-0.012642826700703106,0.488380404802922
3802,2015-11-17,-0.004289257480414657,0.48628561549833316
3803,2015-11-18,-0.01956465561027205,0.47677160490287906
3804,2015-11-19,0.005209946319005022,0.4792555593708489
3805,2015-11-20,-0.011876969898947482,0.4735634555182981
3806,2015-11-23,0.007257636377022654,0.47700040687989625
3807,2015-11-24,-0.002731612194045229,0.4756974267518986
3808,2015-11-25,-0.011406138363521064,0.4702715560831955
3809,2015-11-26,-5.714322684615726e-05,0.47024468324898694
3810,2015-11-27,-0.010321813327483258,0.4653909054102494
3811,2015-11-30,-0.0009270473864344854,0.4649594659877185
3812,2015-12-01,-0.010129305234611197,0.46024974963500703
3813,2015-12-02,0.0063780328008493,0.4631852376347618
3814,2015-12-03,-0.021510494022971293,0.4532218943490907
3815,2015-12-04,-0.028235154963562117,0.440425103929265
3816,2015-12-07,-0.0014347974777393765,0.4397931831010142
3817,2015-12-08,0.006563372805816878,0.44267970971916304
3818,2015-12-09,0.012981565799488776,0.44842638549898095
3819,2015-12-10,0.0038246966637737728,0.45014148039954704
3820,2015-12-11,0.01810375177978751,0.4582907300264865
3821,2015-12-14,-0.013087364823739503,0.452292912047292
3822,2015-12-15,-0.029624221487358975,0.43889408664364044
3823,2015-12-16,0.006488757010994554,0.44174196372543345
3824,2015-12-17,-0.004824106959779886,0.4396109532437988
3825,2015-12-18,-0.016981254502030977,0.43214580776488537
3826,2015-12-21,-0.010132467568291299,0.4277671043829346
3827,2015-12-22,0.013541569335078225,0.43355974228620175
3828,2015-12-23,0.0004878269060744484,0.43377124439387965
3829,2015-12-24,0.022291996797578956,0.44344087158478984
3830,2015-12-25,-0.006776689240385827,0.4404358106015739
3831,2015-12-28,0.0017284733426708556,0.4411970921593563
3832,2015-12-29,-0.003925018003998856,0.4394653856293189
3833,2015-12-30,0.0012183532452148022,0.44000080970806
3834,2015-12-31,0.007297598290577217,0.4432117588648381
3835,2016-01-04,-0.021073097046306284,0.43387191445821527
3836,2016-01-05,-0.008038285408100001,0.4303843281792414
3837,2016-01-06,-0.0007469005907732584,0.43006287387026476
3838,2016-01-07,0.015030327131438235,0.4365268595516213
3839,2016-01-08,-0.028079790267772915,0.42426927688916216
3840,2016-01-11,0.01566144555318541,0.4309139470690511
3841,2016-01-12,0.019152643649806494,0.4391670883409962
3842,2016-01-13,0.00011520917872271004,0.439217684420566
3843,2016-01-14,0.0063888996757194925,0.4420238021421309
3844,2016-01-15,0.015082340853713492,0.4486905557914929
3845,2016-01-18,-0.04039154781690677,0.43056724975224636
3846,2016-01-19,-0.018844931012506116,0.42245323963442083
3847,2016-01-20,0.00513028471157384,0.4246205450310721
3848,2016-01-21,-0.009421112937425053,0.42062014692078337
3849,2016-01-22,0.010837686368193544,0.4251786961532543
3850,2016-01-25,-0.0010433914791829514,0.4247350683245579
3851,2016-01-26,-0.015362766986961556,0.41820996243869646
3852,2016-01-27,0.008421895421904598,0.4217320830067538
3853,2016-01-28,-0.008401091617240578,0.41818907313948434
3854,2016-01-29,0.01963146321813581,0.4263987365470484
3855,2016-01-30,-0.009423133044918566,0.4223807245223804
3856,2016-02-01,0.01045335685668253,0.4267960209651969
3857,2016-02-02,-0.003975536554528027,0.4250992777825227
3858,2016-02-03,0.005259642271314275,0.42733514791345284
3859,2016-02-15,-0.02201835183307279,0.41792593227605623
3860,2016-02-16,0.009750342680069612,0.4220008533306353
3861,2016-02-17,-0.008772802643343201,0.4182987231290432
3862,2016-02-18,-0.005866121260265575,0.415844932096154
3863,2016-02-19,-0.008062917384153096,0.4124920087640439
3864,2016-02-22,0.0017601694511651805,0.4132180645967201
3865,2016-02-23,-0.006313446589218156,0.41060923441618863
