,Date,low_adj,high_adj,open_adj,close_adj,volume,marketValue,return,stock
0,2011-11-01,11.9784,13.3208,12.6496,13.2176,84772,2783,16.3636,4952
1,2011-11-02,12.3656,13.2176,12.3656,12.9594,62121,2729,-1.9531,4952
2,2011-11-03,12.9594,13.8888,12.9594,13.2176,69636,2783,1.992,4952
3,2011-11-04,12.9594,13.5273,13.3983,13.1401,41613,2767,-0.5859,4952
4,2011-11-07,12.7787,13.3208,13.3208,12.8561,40069,2707,-2.1611,4952
5,2011-11-08,12.882,13.7339,12.9078,13.7339,83806,2892,6.8273,4952
6,2011-11-09,14.2502,14.689,14.2502,14.689,83479,3093,6.9549,4952
7,2011-11-10,13.6822,14.56,14.276,13.8888,113693,2925,-5.4482,4952
8,2011-11-11,13.2434,14.2502,13.9404,13.5273,39827,2848,-2.6022,4952
9,2011-11-14,13.4241,14.0437,14.0437,13.4241,36161,2827,-0.7634,4952
10,2011-11-15,13.1401,13.6822,13.5273,13.1659,20763,2772,-1.9231,4952
11,2011-11-16,12.7013,13.3725,13.3725,12.9078,26019,2718,-1.9608,4952
12,2011-11-17,12.8045,13.1401,12.9078,13.0627,11942,2751,1.2,4952
13,2011-11-18,12.7529,13.0369,12.9078,12.7529,12642,2685,-2.3715,4952
14,2011-11-21,11.8752,12.7271,12.6754,11.8752,15458,2500,-6.8826,4952
15,2011-11-22,11.0491,11.7719,11.617,11.1523,22976,2348,-6.087,4952
16,2011-11-23,10.8425,11.333,11.0749,11.1007,12849,2337,-0.463,4952
17,2011-11-24,10.352,11.0232,10.8942,10.7909,11677,2272,-2.7907,4952
18,2011-11-25,10.5327,10.9458,10.8425,10.5586,9488,2223,-2.1531,4952
19,2011-11-28,10.636,10.9974,10.8167,10.7909,5295,2272,2.2005,4952
20,2011-11-29,10.8425,11.5396,10.8425,11.5396,11791,2430,6.9378,4952
21,2011-11-30,10.9974,11.5654,11.2556,10.9974,7841,2316,-4.698,4952
22,2011-12-01,11.3588,11.7203,11.7203,11.4621,5082,2414,4.2254,4952
23,2011-12-02,11.2298,11.617,11.617,11.2298,3255,2365,-2.027,4952
24,2011-12-05,10.8942,11.1007,11.1007,10.9974,2477,2316,-2.069,4952
25,2011-12-06,10.6876,10.9716,10.9716,10.6876,4514,2250,-2.8169,4952
26,2011-12-07,10.5069,10.7909,10.6876,10.5069,3181,2212,-1.6908,4952
27,2011-12-08,10.2746,10.5069,10.4811,10.3004,5744,2169,-1.9656,4952
28,2011-12-09,9.8874,10.1713,10.1197,9.9648,4828,2098,-3.2581,4952
29,2011-12-12,9.8357,10.223,10.1713,9.8357,4013,2071,-1.2953,4952
30,2011-12-13,9.5776,9.8615,9.8099,9.6808,2912,2038,-1.5748,4952
31,2011-12-14,9.5518,10.0422,9.5518,9.9906,4978,2104,3.2,4952
32,2011-12-15,9.655,9.8615,9.655,9.7066,2816,2044,-2.8424,4952
33,2011-12-16,9.655,9.8099,9.7841,9.7583,1585,2055,0.5319,4952
34,2011-12-19,9.2936,9.8357,9.8099,9.2936,2879,1957,-4.7619,4952
35,2011-12-20,9.2162,9.5001,9.5001,9.2678,2747,1951,-0.2778,4952
36,2011-12-21,9.5518,9.9132,9.5518,9.9132,5103,2087,6.9638,4952
37,2011-12-22,9.6292,9.9132,9.9132,9.6808,2969,2038,-2.3438,4952
38,2011-12-23,9.8099,10.1713,9.8099,10.0681,5911,2120,4.0,4952
39,2011-12-26,10.0164,10.3004,10.1455,10.0681,5135,2120,0.0,4952
40,2011-12-27,9.9648,10.0939,9.9906,9.9648,2118,2098,-1.0256,4952
41,2011-12-28,9.9648,10.0939,9.9648,10.0164,3107,2109,0.5181,4952
42,2011-12-29,9.9648,10.636,9.9648,10.4295,7666,2196,4.1237,4952
43,2011-12-30,10.0939,10.4295,10.4037,10.1455,5041,2137,-2.7228,4952
44,2012-01-02,9.9132,10.0681,10.0681,9.9132,2509,2088,-2.2901,4952
45,2012-01-03,9.8099,10.0422,9.8099,9.8874,2508,2082,-0.2604,4952
46,2012-01-04,9.9648,10.0681,9.9648,10.0681,2306,2120,1.8277,4952
47,2012-01-05,10.0681,10.3262,10.0681,10.1713,4506,2142,1.0256,4952
48,2012-01-06,10.1713,10.5069,10.1713,10.2488,8942,2158,0.7614,4952
49,2012-01-09,9.9132,10.2488,10.1713,9.939,5570,2093,-3.0227,4952
50,2012-01-10,9.8357,10.0422,9.9132,9.8357,4077,2071,-1.039,4952
51,2012-01-11,9.8357,9.9906,9.8357,9.8615,4369,2077,0.2625,4952
52,2012-01-12,9.8099,9.9648,9.9648,9.8099,4393,2066,-0.5236,4952
53,2012-01-13,9.7066,9.8615,9.8099,9.7325,6443,2050,-0.7895,4952
54,2012-01-16,9.7066,9.8874,9.8615,9.7583,3478,2055,0.2653,4952
55,2012-01-17,9.8099,10.0681,9.8099,10.0164,5929,2109,2.6455,4952
56,2012-01-18,10.0681,10.223,10.0681,10.1455,9475,2137,1.2887,4952
57,2012-01-30,10.352,10.8425,10.352,10.8425,20570,2283,6.8702,4952
58,2012-01-31,10.8425,11.5137,10.8425,11.4105,30139,2403,5.2381,4952
59,2012-02-01,11.2298,11.5654,11.4105,11.4363,25489,2409,0.2262,4952
60,2012-02-02,11.5137,11.7719,11.5654,11.7203,17070,2469,2.4831,4952
61,2012-02-03,11.7461,12.5205,11.8752,12.5205,33522,2637,6.8282,4952
62,2012-02-04,12.6496,13.2692,12.9594,12.7529,45200,2686,1.8557,4952
63,2012-02-06,12.2882,12.7529,12.7529,12.3656,23240,2604,-3.0364,4952
64,2012-02-07,12.1849,12.3915,12.1849,12.2108,9657,2572,-1.2526,4952
65,2012-02-08,12.2366,12.5464,12.2366,12.4947,16825,2632,2.3256,4952
66,2012-02-09,12.4173,12.8561,12.4947,12.7013,21744,2675,1.6529,4952
67,2012-02-10,12.5722,12.8303,12.598,12.7787,20923,2692,0.6098,4952
68,2012-02-13,12.3915,12.7529,12.7013,12.598,22616,2653,-1.4141,4952
69,2012-02-14,12.4431,13.3208,12.4431,13.1659,30361,2773,4.5082,4952
70,2012-02-15,12.8045,14.0695,13.1659,14.0695,57437,2963,6.8627,4952
71,2012-02-16,15.0505,15.0505,15.0505,15.0505,89420,3170,6.9725,4952
72,2012-02-17,14.2502,16.0056,16.0056,15.2054,163229,3203,1.0292,4952
73,2012-02-20,14.689,15.4893,15.4377,15.0247,35018,3165,-1.1885,4952
74,2012-02-21,14.7149,15.4377,15.1279,14.9988,46788,3159,-0.1718,4952
75,2012-02-22,14.7407,15.4377,14.973,14.973,49306,3154,-0.1721,4952
76,2012-02-23,14.7665,15.1021,14.973,14.7665,20907,3110,-1.3793,4952
77,2012-02-24,14.0178,14.9214,14.689,14.1727,32673,2985,-4.021,4952
78,2012-02-29,13.6306,14.4309,14.1211,13.7081,27504,2888,-3.2787,4952
79,2012-03-01,13.6822,14.6632,13.7081,14.6632,38921,3090,6.968,4952
80,2012-03-02,14.56,14.973,14.8181,14.689,38247,3095,0.1761,4952
81,2012-03-03,14.3018,14.7149,14.7149,14.4051,21945,3035,-1.9332,4952
82,2012-03-05,13.7597,14.4051,14.1469,13.7597,19796,2899,-4.4803,4952
83,2012-03-06,12.9078,13.7855,13.7597,13.0627,28824,2752,-5.0657,4952
84,2012-03-07,12.598,13.2176,12.598,13.0369,12549,2747,-0.1976,4952
85,2012-03-08,13.1659,13.6822,13.6822,13.3983,9489,2823,2.7723,4952
86,2012-03-09,13.3983,13.6564,13.4499,13.4499,8339,2834,0.3854,4952
87,2012-03-12,13.1659,13.4241,13.3208,13.1659,11787,2774,-2.1113,4952
88,2012-03-13,13.1143,13.6822,13.1659,13.579,11088,2861,3.1373,4952
89,2012-03-14,13.2692,13.863,13.6822,13.4241,11501,2829,-1.1407,4952
90,2012-03-15,13.2176,13.579,13.4757,13.3983,8040,2823,-0.1923,4952
91,2012-03-16,13.3466,13.7339,13.3983,13.3466,10840,2812,-0.3854,4952
92,2012-03-19,13.3466,13.4499,13.3466,13.3466,8155,2812,0.0,4952
93,2012-03-20,13.2176,13.6306,13.6306,13.2176,7831,2785,-0.9671,4952
94,2012-03-21,13.1659,13.4241,13.2176,13.2176,10278,2785,0.0,4952
95,2012-03-22,13.2692,14.0953,13.2692,14.0437,22134,2959,6.25,4952
96,2012-03-23,13.7855,14.1469,14.1469,13.8888,18902,2927,-1.1029,4952
97,2012-03-26,13.6822,14.0437,13.7597,13.6822,7510,2883,-1.487,4952
98,2012-03-27,13.7081,14.1727,13.7081,13.7597,16448,2899,0.566,4952
99,2012-03-28,13.4757,13.8371,13.7597,13.5273,9635,2850,-1.6886,4952
100,2012-03-29,12.6496,13.3725,13.3725,12.7013,21135,2676,-6.1069,4952
101,2012-03-30,12.4947,12.8303,12.6496,12.8303,7738,2704,1.0163,4952
102,2012-04-02,12.4689,12.8303,12.7271,12.4947,5284,2633,-2.6157,4952
103,2012-04-03,11.9268,12.5205,12.4947,11.9526,13528,2519,-4.3388,4952
