,HighGroup,LowGroup
2010-05-31,1.007086991814603,1.0125964927582212
2010-06-01,0.9897224218439215,0.9848456087855602
2010-06-02,0.9796841797877391,0.9877685954158085
2010-06-03,1.0250152664436725,1.0234939752886867
2010-06-04,1.0047273161849637,0.9933998813957894
2010-06-05,1.0,1.0
2010-06-06,1.0,1.0
2010-06-07,0.9742347835209327,0.9816692707973055
2010-06-08,1.004910318078919,1.0002084251538517
2010-06-09,0.9883825340917922,0.97386327626814
2010-06-10,1.0177611448906547,1.0188762823030117
2010-06-11,1.0124588269107546,1.0141349338717067
2010-06-12,1.0,1.0
2010-06-13,1.0,1.0
2010-06-14,1.0066880264720497,1.0082127071252238
2010-06-15,1.0104660376199732,1.0134887932517154
2010-06-16,1.0,1.0
2010-06-17,1.015239395513015,1.0029754403793893
2010-06-18,0.9948097648113634,0.994525962841097
2010-06-19,1.0,1.0
2010-06-20,1.0,1.0
2010-06-21,1.0216037507663922,1.0312176164804767
2010-06-22,1.004897250950579,1.0043656117114619
2010-06-23,0.9988199348573803,0.9991497690022219
2010-06-24,1.001585610576931,1.0044292222362163
2010-06-25,0.9884462055461356,0.9778999743099495
2010-06-26,1.0,1.0
2010-06-27,1.0,1.0
2010-06-28,1.0076557309940315,0.9983899250358287
2010-06-29,0.9902109311166524,0.9811399763833749
2010-06-30,0.9855873900935681,0.9960206496812357
2010-07-01,0.990910086417624,0.9892544886805181
2010-07-02,1.0096742520741981,1.001786922593606
2010-07-03,1.0,1.0
2010-07-04,1.0,1.0
2010-07-05,1.011940528377346,1.016154632709414
2010-07-06,1.0132969342319855,1.0218851590696207
2010-07-07,0.9955678073277368,1.0041308625193894
2010-07-08,1.0090201964269552,1.0104271288670204
2010-07-09,1.0019896259165215,1.0023306733440214
2010-07-10,1.0,1.0
2010-07-11,1.0,1.0
2010-07-12,0.9932786444219592,1.0018540843616213
2010-07-13,0.9970530339782597,1.0034176255684684
2010-07-14,1.0159559691323399,1.0130402971111176
2010-07-15,1.0028244205357493,0.9963586020759689
2010-07-16,0.9854133749886569,0.9844009660655842
2010-07-17,1.0,1.0
2010-07-18,1.0,1.0
2010-07-19,1.0029670246608835,0.9938910683359428
2010-07-20,1.0071496439085474,1.0137296688164996
2010-07-21,1.0150837304926361,0.9990389544016421
2010-07-22,1.0030242345872065,1.00030949009875
2010-07-23,1.011866286347285,1.0106564133848972
2010-07-24,1.0,1.0
2010-07-25,1.0,1.0
2010-07-26,0.9990467400791029,1.0048183743821355
2010-07-27,0.9960871973096939,0.998191480608423
2010-07-28,1.0164704096792485,1.0034990806165454
2010-07-29,1.005296909440126,1.00493770372125
2010-07-30,0.9949772988398143,0.9969901386251223
2010-07-31,1.0,1.0
2010-08-01,1.0,1.0
2010-08-02,1.0255866478903637,1.026366693436502
2010-08-03,1.0070885099938853,0.999727162183448
2010-08-04,1.0007733714547589,1.0093348718814092
2010-08-05,0.9979393840808554,1.0019947645977563
2010-08-06,1.0056049303758061,1.0053549263890647
2010-08-07,1.0,1.0
2010-08-08,1.0,1.0
2010-08-09,1.0023964179091724,1.0165896921399133
2010-08-10,1.0019397833087687,0.9929626237636181
2010-08-11,0.9910076985430932,0.9962951122258832
2010-08-12,0.9943013993180234,0.9949186133256611
2010-08-13,1.005729227898084,1.0036290357811302
2010-08-14,1.0,1.0
2010-08-15,1.0,1.0
2010-08-16,1.0072517290781016,1.0143516378890878
2010-08-17,1.0007716228894388,0.9911045901582304
2010-08-18,0.9976690450341132,1.0000415811347652
2010-08-19,1.0018537227259576,1.0004117876944176
2010-08-20,1.0016761488419033,1.0044434698810323
2010-08-21,1.0,1.0
2010-08-22,1.0,1.0
2010-08-23,1.0023202265376787,0.9936460475344663
2010-08-24,0.9932655677446589,0.9880869357240171
2010-08-25,0.9789164093959196,0.9663842404233559
2010-08-26,0.9908472766097436,1.0056487994413705
2010-08-27,1.0079087445950476,1.0023392895165844
2010-08-28,1.0,1.0
2010-08-29,0.997,0.997
2010-08-30,1.0,1.0
2010-08-31,0.9739307086600345,0.9802702818561954
2010-09-01,1.0104936208565551,1.0124516932754233
2010-09-02,1.0126112549444717,1.0160403341738802
2010-09-03,1.0215049697526608,1.0121649754588318
2010-09-04,1.0,1.0
2010-09-05,1.0,1.0
2010-09-06,1.0118261618067854,1.011642054885292
2010-09-07,0.9965608860021752,0.9928305864503951
2010-09-08,1.0059243993467122,0.9916366011513841
2010-09-09,0.9916128939376263,0.9885670092449955
2010-09-10,1.0024603248931807,1.0106050274988558
2010-09-11,1.0,1.0
2010-09-12,1.0,1.0
2010-09-13,1.0259142637553351,1.0180327164239065
2010-09-14,1.010339600397374,1.0036625828801626
2010-09-15,1.0055588765127579,1.0105410716873697
2010-09-16,0.9941928115331475,1.0003903544285921
2010-09-17,1.0034408898013745,1.020997771341252
2010-09-18,1.0,1.0
2010-09-19,1.0,1.0
2010-09-20,1.004815056141166,1.00658970549021
2010-09-21,0.9944532841578068,1.0012055780954947
2010-09-22,1.0,1.0
2010-09-23,0.9990901708570538,0.9963724434709372
2010-09-24,0.9950345279609287,0.9984717566670004
2010-09-25,1.0,1.0
2010-09-26,1.0,1.0
2010-09-27,1.0031624778093413,1.000223886231755
2010-09-28,0.9988959916975677,0.99661693095698
2010-09-29,1.0073826798595784,1.0107986903255428
2010-09-30,0.9952483202415199,0.9960411333284445
2010-10-01,1.0097928828746219,0.9945735564742598
2010-10-02,1.0,1.0
2010-10-03,1.0,1.0
2010-10-04,1.0210481313873054,0.9972535355629527
2010-10-05,0.9975651148516322,1.0034382870724585
