,2010-05-31,2010-08-31,2010-11-30,2011-03-31,2011-05-31,2011-08-31,2011-11-30,2012-03-31,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-05-31,2014-08-31,2014-11-30,2015-03-31,2015-05-31,2015-08-31,2015-11-30,2016-03-31,2016-05-31,2016-08-31,2016-11-30,2017-03-31,2017-05-31,2017-08-31,2017-11-30,2018-03-31,2018-05-31,2018-08-31,2018-11-30,2019-03-31,2019-05-31,2019-08-31,2019-11-30
144,2324,1315,6116,6154,6160,2601,2443,6237,6238,1234,2915,2536,2910,1313,3017,1597,1314,1409,1905,2028,6586,2376,1308,2463,1315,2841,2606,8078,8076,8107,5538,2597,2350,6278,2536,3582,2062,1618,2618
145,1203,4707,1473,6156,6166,6175,6203,6238,6239,6274,2923,5283,1340,2706,5289,6539,6550,5347,6567,6196,4148,2368,3017,5392,3561,6547,2538,3452,8072,2472,2349,4506,3630,8213,2642,2325,8299,1614,3573
146,5903,6111,1464,1338,6168,6176,6206,3662,4763,1233,2939,2362,2913,2707,5285,1580,1312,5315,6572,2059,4152,6643,3019,2466,6166,1582,5264,1325,1614,2464,1303,2548,2373,2451,2729,4977,2034,3573,5604
147,5904,3596,6124,3582,2524,2548,6209,4992,2369,6278,3006,5264,5356,2910,6471,6541,1307,5306,1902,2101,1608,2355,3024,3529,6152,3617,1264,3466,1720,2462,6552,2545,3596,1712,2706,1455,8325,3582,8383
148,3708,4576,1455,6166,2526,2547,6213,6244,6245,3673,6285,3346,1326,3005,5280,1532,1102,5305,1815,2109,1605,2347,3038,2504,4977,1612,5538,3533,1726,2458,1307,2201,3579,2906,9925,1459,2029,3598,2634
149,3515,3599,1451,6168,2538,2538,6214,6245,6251,4935,3017,2365,2929,3006,3014,1477,1305,6567,1808,1416,1598,2341,6699,5317,6145,1626,1234,1315,1737,2450,3264,1203,3566,2908,2707,1464,2028,1611,2636
150,2501,3703,6129,1712,6176,6183,6215,1233,2038,1232,3035,5245,2939,1304,5234,1455,1304,5301,1795,6131,5907,2312,4961,4702,2605,2727,4147,1308,2009,2430,5609,8201,2387,6261,5533,4992,2027,1582,5608
151,1109,6121,1402,1710,2547,2534,6220,1232,1210,6283,3036,2524,1310,6471,5215,6551,1303,5289,1734,2345,1580,2201,1259,1301,2348,4190,1233,5269,6701,2409,2534,2539,3552,2441,2008,6548,2017,3638,1217
152,3712,1256,6134,6175,1109,2524,6223,3691,2059,6284,3042,6462,6469,3013,2327,6552,1301,1314,1723,2367,1560,2103,6706,5305,2542,5425,1232,3545,2105,2384,5701,4526,2420,4745,1219,3669,2010,3658,3553
153,1104,4120,1314,3584,6182,2514,2449,6261,6269,6285,3049,4738,3006,6488,1233,1451,6575,5287,1718,5609,1535,6683,1234,2605,8056,2701,2428,3561,1503,2379,1717,3536,3474,2926,8249,2906,2008,3679,2637
154,2331,1109,1233,3593,3006,6189,6230,6269,6271,4934,3057,5203,3013,1259,6504,1447,1264,6581,1710,2405,5903,6689,6757,2606,2369,8070,2430,3573,6592,2371,4438,6274,2450,3010,8201,2605,2007,1537,2701
155,6115,4147,1216,3598,3005,2504,6231,6271,6274,3679,4536,4994,1234,3016,5009,1442,1259,1305,6605,2420,1507,2059,3060,2608,3584,2640,3540,3576,2349,2349,1315,1737,2451,3014,1232,3474,2002,1535,6189
156,3529,4414,6142,3611,6187,2501,2499,4147,3260,6290,1102,6472,3016,1233,5007,1440,6581,2597,1702,1314,1503,2033,3090,1259,8069,6285,8105,3591,2409,2348,3311,6192,2459,2433,8131,1219,1907,3705,2002
157,,4157,6143,6183,2548,6194,2505,6277,6278,6298,3230,2401,5312,6499,1229,1416,1234,2606,1612,2421,4919,2028,1233,2633,2390,8078,5521,1301,2462,8210,3380,2514,3315,1722,3315,3573,1905,1521,2706
158,,4174,1201,6184,6189,2497,6235,4166,1203,6409,3268,1232,1233,6504,6525,1402,3346,2615,1611,5480,4927,2027,3176,1233,2526,1264,1231,8155,1459,2324,1321,1110,2463,4912,8021,1513,1904,1513,5609
159,,,6146,1709,2601,2491,2527,4180,2359,1225,3376,1229,3034,1229,4992,6576,4958,6605,1609,2459,1436,2023,4934,2639,1232,2639,8112,3620,1451,2114,3466,8277,2473,3501,1325,2462,1810,4103,6183
160,,,,1419,2910,2439,2536,1219,2104,6412,3406,2405,1229,3043,4984,1340,6592,2634,1605,5371,4944,2015,3231,1232,2408,1810,5515,5009,2472,2109,1108,2108,2476,1726,6620,5256,1734,4105,5903
161,,,,6189,2905,1104,2547,6282,6283,4932,6446,6499,3043,1225,2341,1321,1233,2636,1604,2460,6699,2014,1232,1231,2428,1902,8121,8199,8201,2106,1104,6255,3211,2412,6547,1217,1726,4130,2030
162,,,,3645,2841,2476,1108,4536,3303,3689,1210,4976,4992,6525,1215,1314,3490,2727,6669,6683,1416,2013,3323,2640,2509,3372,1227,3624,6539,8249,1325,5371,2504,8383,3045,2841,1725,1459,6105
163,,,,6192,2704,6209,2601,6284,2355,1217,3536,2449,1225,3211,6536,6586,1227,1259,1597,1234,6702,2010,1229,1229,8096,3584,2436,1234,1416,2062,1902,1109,1203,1219,1612,1531,8437,4141,2841
164,,,,2406,2615,2443,1104,4803,1109,4925,1109,6510,6525,1219,6538,6589,6638,1234,1515,5347,4966,1909,8044,4164,1229,8110,2441,1233,2520,2031,2520,1530,3130,3474,6282,2463,1720,6285,2029
165,,,,,1815,6214,2605,4904,2344,4552,6456,6523,6526,3227,2351,1312,6643,6666,1477,1233,5536,8021,8046,2642,1227,1233,3557,1232,1325,2017,3545,2107,1110,8411,1704,2038,1717,4180,8482
166,,,,,,6215,3034,6289,6290,6446,1108,1225,1219,6534,2361,1307,6665,1233,6683,6701,1339,1907,8050,1217,1219,1232,5289,3645,2534,2012,4174,1108,2506,1806,6274,2034,1710,1455,6108
167,,,,,,,6257,6290,1104,1210,4190,1218,3094,3311,3008,6617,1219,2729,1471,2463,1321,1905,3367,8096,5531,6243,3563,8240,2642,2010,1909,3552,2514,4968,1712,2033,1709,1447,2906
168,,,,,,,2612,1109,1103,4915,6469,2454,5274,3323,4927,1305,6669,1232,1455,1229,1315,1760,8054,5243,8112,1229,2492,8249,8255,1802,3561,8359,3045,4977,1720,2706,8464,8489,1203
169,,,,,,,6269,4909,6411,6453,3584,6533,6536,1215,4904,6638,6670,2910,1451,5315,5264,8040,3498,8105,5317,1903,5483,3679,2705,8325,4152,2501,3036,3045,1737,2704,1708,8499,8916
170,,,,,,,2912,4912,2330,1201,6472,2455,5264,6540,2428,6643,6672,6683,6701,2497,5269,1716,3527,2701,8121,2605,2485,1227,2706,1762,2501,3653,3033,5227,6183,2701,1704,4205,2908
