,Date,DailyReturn,AccReturn
3016,2012-09-07,0.0,1.0
3017,2012-09-10,0.0,1.0
3018,2012-09-11,0.0,1.0
3019,2012-09-12,0.0,1.0
3020,2012-09-13,0.0,1.0
3021,2012-09-14,0.0,1.0
3022,2012-09-17,0.0,1.0
3023,2012-09-18,0.0,1.0
3024,2012-09-19,0.0,1.0
3025,2012-09-20,0.0,1.0
3026,2012-09-21,0.0,1.0
3027,2012-09-24,0.0,1.0
3028,2012-09-25,0.0,1.0
3029,2012-09-26,0.0,1.0
3030,2012-09-27,0.0,1.0
3031,2012-09-28,0.0,1.0
3032,2012-10-01,0.0,1.0
3033,2012-10-02,0.0,1.0
3034,2012-10-03,0.0,1.0
3035,2012-10-04,0.0,1.0
3036,2012-10-05,0.0,1.0
3037,2012-10-08,0.0,1.0
3038,2012-10-09,0.0,1.0
3039,2012-10-11,0.0,1.0
3040,2012-10-12,0.0,1.0
3041,2012-10-15,0.0,1.0
3042,2012-10-16,0.0,1.0
3043,2012-10-17,0.0,1.0
3044,2012-10-18,0.0,1.0
3045,2012-10-19,0.0,1.0
3046,2012-10-22,0.0,1.0
3047,2012-10-23,0.0,1.0
3048,2012-10-24,0.0,1.0
3049,2012-10-25,0.0,1.0
3050,2012-10-26,0.0,1.0
3051,2012-10-29,0.0,1.0
3052,2012-10-30,0.0,1.0
3053,2012-10-31,0.0,1.0
3054,2012-11-01,0.0,1.0
3055,2012-11-02,0.0,1.0
3056,2012-11-05,0.0,1.0
3057,2012-11-06,0.0,1.0
3058,2012-11-07,0.0,1.0
3059,2012-11-08,0.0,1.0
3060,2012-11-09,0.0,1.0
3061,2012-11-12,0.0,1.0
3062,2012-11-13,0.0,1.0
3063,2012-11-14,0.0,1.0
3064,2012-11-15,0.0,1.0
3065,2012-11-16,0.0,1.0
3066,2012-11-19,0.0,1.0
3067,2012-11-20,0.0,1.0
3068,2012-11-21,0.0,1.0
3069,2012-11-22,0.0,1.0
3070,2012-11-23,0.0,1.0
3071,2012-11-26,0.0,1.0
3072,2012-11-27,0.0,1.0
3073,2012-11-28,0.0,1.0
3074,2012-11-29,0.0,1.0
3075,2012-11-30,0.0,1.0
3076,2012-12-03,0.0,1.0
3077,2012-12-04,0.0,1.0
3078,2012-12-05,0.0,1.0
3079,2012-12-06,0.0,1.0
3080,2012-12-07,0.0,1.0
3081,2012-12-10,0.0,1.0
3082,2012-12-11,0.0,1.0
3083,2012-12-12,0.0,1.0
3084,2012-12-13,0.0,1.0
3085,2012-12-14,0.0,1.0
3086,2012-12-17,0.0,1.0
3087,2012-12-18,0.0,1.0
3088,2012-12-19,0.0,1.0
3089,2012-12-20,0.0,1.0
3090,2012-12-21,0.0,1.0
3091,2012-12-22,0.0,1.0
3092,2012-12-24,0.0,1.0
3093,2012-12-25,0.0,1.0
3094,2012-12-26,0.0,1.0
3095,2012-12-27,0.0,1.0
3096,2012-12-28,0.0,1.0
3097,2013-01-02,0.0,1.0
3098,2013-01-03,0.0,1.0
3099,2013-01-04,0.0,1.0
3100,2013-01-07,0.0,1.0
3101,2013-01-08,0.0,1.0
3102,2013-01-09,0.0,1.0
3103,2013-01-10,0.0,1.0
3104,2013-01-11,0.0,1.0
3105,2013-01-14,0.0,1.0
3106,2013-01-15,0.0,1.0
3107,2013-01-16,0.0,1.0
3108,2013-01-17,0.0,1.0
3109,2013-01-18,0.0,1.0
3110,2013-01-21,0.0,1.0
3111,2013-01-22,0.0,1.0
3112,2013-01-23,0.0,1.0
3113,2013-01-24,0.0,1.0
3114,2013-01-25,0.0,1.0
3115,2013-01-28,0.0,1.0
3116,2013-01-29,0.0,1.0
3117,2013-01-30,0.0,1.0
3118,2013-01-31,0.0,1.0
3119,2013-02-01,0.0,1.0
3120,2013-02-04,0.0,1.0
3121,2013-02-05,0.0,1.0
3122,2013-02-06,0.0,1.0
3123,2013-02-18,0.0,1.0
3124,2013-02-19,0.0,1.0
3125,2013-02-20,0.0,1.0
3126,2013-02-21,0.0,1.0
3127,2013-02-22,0.0,1.0
3128,2013-02-23,0.0,1.0
3129,2013-02-25,0.0,1.0
3130,2013-02-26,0.0,1.0
3131,2013-02-27,0.0,1.0
3132,2013-03-01,0.0,1.0
3133,2013-03-04,0.0,1.0
3134,2013-03-05,0.0,1.0
3135,2013-03-06,0.0,1.0
3136,2013-03-07,0.0,1.0
3137,2013-03-08,0.0,1.0
3138,2013-03-11,0.0,1.0
3139,2013-03-12,0.0,1.0
3140,2013-03-13,0.0,1.0
3141,2013-03-14,0.0,1.0
3142,2013-03-15,0.0,1.0
3143,2013-03-18,0.0,1.0
3144,2013-03-19,0.0,1.0
3145,2013-03-20,0.0,1.0
3146,2013-03-21,0.0,1.0
3147,2013-03-22,0.0,1.0
3148,2013-03-25,0.0,1.0
3149,2013-03-26,0.0,1.0
3150,2013-03-27,0.0,1.0
3151,2013-03-28,0.0,1.0
3152,2013-03-29,0.0,1.0
3153,2013-04-01,0.0,1.0
3154,2013-04-02,0.0,1.0
3155,2013-04-03,0.0,1.0
3156,2013-04-08,0.0,1.0
3157,2013-04-09,0.0,1.0
3158,2013-04-10,0.0,1.0
3159,2013-04-11,0.0,1.0
3160,2013-04-12,0.0,1.0
3161,2013-04-15,0.0,1.0
3162,2013-04-16,0.0,1.0
3163,2013-04-17,0.0,1.0
3164,2013-04-18,0.0,1.0
3165,2013-04-19,0.0,1.0
3166,2013-04-22,0.0,1.0
3167,2013-04-23,0.0,1.0
3168,2013-04-24,0.0,1.0
3169,2013-04-25,0.0,1.0
3170,2013-04-26,0.0,1.0
3171,2013-04-29,0.0,1.0
3172,2013-04-30,-0.003621970314053152,0.9963780296859468
3173,2013-05-02,-0.008812986723755478,0.9875969633384829
3174,2013-05-03,0.0017801510687630575,0.9893550351282769
3175,2013-05-06,-0.0002651943461765174,0.9890926637665997
3176,2013-05-07,0.0020635256766126696,0.9911336818748312
3177,2013-05-08,0.008647435051622885,0.9997044460163196
3178,2013-05-09,0.0077927683971371585,1.007494911229713
3179,2013-05-10,-0.0009636517864078198,1.0065240369587096
3180,2013-05-13,-0.0027451117613722918,1.0037610159867503
3181,2013-05-14,-0.009760431137071084,0.9939638757121352
3182,2013-05-15,-0.012422901982346983,0.9816159599101696
3183,2013-05-16,0.0059285018433980746,0.9874354719380061
3184,2013-05-17,-0.009703899588891375,0.9778534972678101
3185,2013-05-20,0.01354632396480819,0.9910998175319206
3186,2013-05-21,0.0008404350457174888,0.9919327725523785
3187,2013-05-22,0.0066244856418136,0.9985038169617961
3188,2013-05-23,0.010351737503904949,1.008840066371632
3189,2013-05-24,0.006083282496879041,1.0149771254895408
3190,2013-05-27,-0.0019133077128008769,1.0130351619270253
3191,2013-05-28,-0.005471329027823545,1.007492513239368
3192,2013-05-29,0.006115923391974737,1.013654260268328
3193,2013-05-30,0.008614717207090665,1.0223866050663024
3194,2013-05-31,-0.004380699143121273,1.0179078369415497
3195,2013-06-03,-0.0009613652398720186,1.016929255729721
3196,2013-06-04,0.000921956134560887,1.0178668198954552
3197,2013-06-05,-0.0036251106867590333,1.0141769400089546
