,Date,DailyReturn,AccReturn
4487,2018-08-31,-0.0017075111212332809,1.2847872460555438
4488,2018-09-03,0.005342892950119102,1.291651726774897
4489,2018-09-04,0.009048754348934315,1.30333956595486
4490,2018-09-05,-0.0015985031127920303,1.301256173601656
4491,2018-09-06,-0.007035628653986222,1.2921010183804877
4492,2018-09-07,0.005233572575266014,1.298863322834757
4493,2018-09-10,0.0030512884237768167,1.302826529455791
4494,2018-09-11,0.002633434255799141,1.306257437467824
4495,2018-09-12,-0.005069945699193338,1.2996347831906947
4496,2018-09-13,-0.017290309945512363,1.2771636949733587
4497,2018-09-14,0.0072317236779300305,1.2863997899068902
4498,2018-09-17,0.0008892421171643344,1.2875437107795866
4499,2018-09-18,-0.024774534235765734,1.255645415036833
4500,2018-09-19,-0.002584519015893528,1.2524001755844507
4501,2018-09-20,-0.010209518973333189,1.2396137722296154
4502,2018-09-21,-0.0037739988291906716,1.2349354713045722
4503,2018-09-25,0.006649867698113949,1.2431476288044556
4504,2018-09-26,-0.009647741721866289,1.2311540615595997
4505,2018-09-27,-0.0009299471785073135,1.2300091533137445
4506,2018-09-28,-0.017758827341595364,1.2081656331314639
4507,2018-10-01,0.0068388890888350885,1.2164281438973923
4508,2018-10-02,0.0022059645594807156,1.2191115412719848
4509,2018-10-03,-0.00795785373544151,1.2094100299393538
4510,2018-10-04,-0.017792289078769084,1.1878918570719101
4511,2018-10-05,-0.0137799767782604,1.1715227348663746
4512,2018-10-08,0.0051101948833218915,1.177509444351784
4513,2018-10-09,0.0013594824809736207,1.1791102478125612
4514,2018-10-11,-0.012967397926876303,1.163820256029518
4515,2018-10-12,0.03401632326943199,1.2034091420861313
4516,2018-10-15,0.016363435723906212,1.2231010502322188
4517,2018-10-16,-0.018175428410480636,1.2008706646549394
4518,2018-10-17,-0.0016777453907121783,1.198855909432473
4519,2018-10-18,-0.0005741889847473655,1.1981675395749778
4520,2018-10-19,0.01977661222062463,1.221863234380492
4521,2018-10-22,0.005194250118397237,1.2282098976303382
4522,2018-10-23,-0.005445489523868308,1.2215216934996809
4523,2018-10-24,0.011459320590085439,1.235519502193238
4524,2018-10-25,-0.00038832146792215985,1.2350397234464998
4525,2018-10-26,0.00476539686621893,1.2409251778742676
4526,2018-10-29,0.010939241240264111,1.2544999577561518
4527,2018-10-30,-0.012190846594534059,1.239206541218297
4528,2018-10-31,0.013648370115796199,1.2561196907427599
4529,2018-11-01,0.014494149591220237,1.2743260774448628
4530,2018-11-02,0.016969567838123558,1.2959508402639535
4531,2018-11-05,-0.0033446160808537073,1.2916163822436109
4532,2018-11-06,-0.021393092155877837,1.2639847139482319
4533,2018-11-07,0.017662598433812772,1.2863099683771773
4534,2018-11-08,-0.006778284621275403,1.277590993300333
4535,2018-11-09,-0.004742264678874458,1.2715323186587568
4536,2018-11-12,-0.0072003659673640814,1.2623768206250827
4537,2018-11-13,0.02595248468282594,1.2951386357263095
4538,2018-11-14,-0.007739173994874811,1.2851153324769389
4539,2018-11-15,-0.007490954758137071,1.2754885916623657
4540,2018-11-16,-0.00773041436180996,1.2656285363350541
4541,2018-11-19,0.01892517229437538,1.289580774445873
4542,2018-11-20,0.008689474897661743,1.3007865542139276
4543,2018-11-21,0.011160388218837558,1.315303837148799
4544,2018-11-22,-0.009428523344383573,1.3029024642152842
4545,2018-11-23,-0.0023459723905363316,1.2998458910066735
4546,2018-11-26,0.0011584174165719108,1.3013516551256752
4547,2018-11-27,0.005171446935661832,1.3080815261547933
4548,2018-11-28,-0.005492120824041205,1.300897384365455
4549,2018-11-29,0.006402831784938676,1.3092268114870138
4550,2018-11-30,-0.009610871366024462,1.2966440010128617
4551,2018-12-03,0.02259372139589091,1.3259400143213995
4552,2018-12-04,-0.028035639655416052,1.2887664378751875
4553,2018-12-05,-0.015825296117775084,1.2683713273691626
4554,2018-12-06,-0.016950951821616697,1.2468712261070078
4555,2018-12-07,0.01086940522164826,1.2604239747227783
4556,2018-12-10,-0.018672207747589084,1.2368890764167126
4557,2018-12-11,0.017488870242056326,1.2585208689779814
4558,2018-12-12,0.0018228674653219482,1.2608149857244701
4559,2018-12-13,-0.001722517618373126,1.2586432096980509
4560,2018-12-14,-0.0023251064529994214,1.255716730249158
4561,2018-12-17,-0.002791943188704033,1.2522108404771972
4562,2018-12-18,0.0051079590949590255,1.258607082228619
4563,2018-12-19,0.0021473481312721397,1.2613097497946486
4564,2018-12-20,-0.009263809071930033,1.249625217091987
4565,2018-12-21,0.010097252404048039,1.2622429983194283
4566,2018-12-22,0.008233773324916002,1.2726360210485528
4567,2018-12-24,0.006201188143331873,1.280527876453056
4568,2018-12-25,-0.0004471777019393972,1.2799552529399945
4569,2018-12-26,-0.0071056986802358465,1.2708602765884178
4570,2018-12-27,0.0071188801596733745,1.27990737859714
4571,2018-12-28,-0.005812921758459393,1.2724673771472799
4572,2019-01-02,-0.002396733455316583,1.269417612013672
4573,2019-01-03,-0.014484298656356425,1.251030988201627
4574,2019-01-04,0.004552364986040167,1.2567261378687673
4575,2019-01-07,0.01988012130927658,1.281710005942137
4576,2019-01-08,0.0028610160738517148,1.285376998871154
4577,2019-01-09,0.018789707736355934,1.3095288570109773
4578,2019-01-10,-0.009130044141317316,1.2975728007421383
4579,2019-01-11,0.013750100628009819,1.3154145573245113
4580,2019-01-14,0.003943183340395567,1.3206014780926671
4581,2019-01-15,0.006733896695187234,1.329494272021655
4582,2019-01-16,0.00728133353640749,1.3391747632509878
4583,2019-01-17,-0.005907617681980559,1.3312634307403441
4584,2019-01-18,0.01587714051884543,1.3524000872978088
4585,2019-01-21,-0.004257545026131833,1.3466421830327937
4586,2019-01-22,0.0002911024789541927,1.347034193910539
4587,2019-01-23,-0.0040085866181863135,1.34163449066659
4588,2019-01-24,-0.0033609109997067075,1.3371253765493227
4589,2019-01-25,-0.004659836167025281,1.330894591359831
4590,2019-01-28,-0.003200328966716603,1.3266352908474555
4591,2019-01-29,-0.0020159473134509403,1.3239608639969425
4592,2019-01-30,0.009168704500127862,1.3360998699286644
4593,2019-02-11,0.024266158886436653,1.3685218816605005
4594,2019-02-12,0.002946488103154685,1.37255421510372
4595,2019-02-13,0.006404122387938091,1.3813442202813244
4596,2019-02-14,-0.008443800545622975,1.3696804252004198
4597,2019-02-15,-0.004267105332767675,1.3638358545538596
4598,2019-02-18,0.003698783780067304,1.3688803884913576
4599,2019-02-19,-0.0027213165060905827,1.3651552316952924
4600,2019-02-20,0.007186243626686741,1.3749655697785008
4601,2019-02-21,0.005402907765789939,1.382394381933151
4602,2019-02-22,0.009464069422501605,1.3954774583330427
4603,2019-02-25,0.00026418401304573527,1.3958461211681
4604,2019-02-26,-0.004529576127163237,1.3895235299004636
4605,2019-02-27,-0.00026292097516357173,1.3891581950189695
4606,2019-03-04,-0.007067820368590353,1.3793398744330203
4607,2019-03-05,-0.0018862274235714376,1.3767381257354392
4608,2019-03-06,0.002686303937615711,1.380436462783668
4609,2019-03-07,-0.003865474402816382,1.3751004209720634
4610,2019-03-08,0.0011379330269499048,1.3766651931564602
4611,2019-03-11,0.005644908080942561,1.3844363416300616
4612,2019-03-12,0.0012083867521943768,1.3861092761645437
4613,2019-03-13,0.014233362681994356,1.4058382722090703
4614,2019-03-14,0.011419005550667544,1.4218915472427667
4615,2019-03-15,0.0006193442091457881,1.4227721875385848
4616,2019-03-18,0.0024712509383656095,1.4262882146421199
4617,2019-03-19,0.0014831529841055958,1.4284036182638609
4618,2019-03-20,-0.0004754527816409255,1.4277244797902513
4619,2019-03-21,0.0030245866756522365,1.4320427562283273
4620,2019-03-22,0.0008159077589047687,1.4332111710242172
4621,2019-03-25,-0.006899713365912413,1.4233224247513265
4622,2019-03-26,0.012789262478070704,1.4415256688323954
4623,2019-03-27,0.015884437345881894,1.4644234930014441
4624,2019-03-28,-0.004860488985484674,1.4573056787436256
4625,2019-03-29,0.0004560496036752214,1.4579702824208502
4626,2019-04-01,-0.011353169159453507,1.4414176991750702
4627,2019-04-02,0.004658407752380952,1.4481324105593265
4628,2019-04-03,-0.006838513185518994,1.4382293379753393
4629,2019-04-08,-0.017636810486007667,1.412863559706052
4630,2019-04-09,0.004173766143172924,1.4187605217964758
4631,2019-04-10,-0.006375306291772101,1.409715488915349
4632,2019-04-11,-0.004510635314807216,1.4033567764472166
4633,2019-04-12,-0.0010776779699827376,1.4018444097652134
4634,2019-04-15,0.0046296974241217155,1.408334525218123
4635,2019-04-16,-0.008884759367530956,1.395821811852574
4636,2019-04-17,-0.00853692112822627,1.3839057911357309
4637,2019-04-18,0.0015472084231367648,1.3860469818326038
4638,2019-04-19,-0.0025373971789278103,1.3825300301310404
4639,2019-04-22,-2.8116085717987057e-05,1.3824911587982056
4640,2019-04-23,0.004801009863875603,1.3891285124883166
4641,2019-04-24,0.011469495079227527,1.405061115126716
4642,2019-04-25,-0.006040967926844595,1.396573185994979
4643,2019-04-26,-0.003312252869378446,1.3919473824523703
4644,2019-04-29,0.005571756811131733,1.3997029747612864
4645,2019-04-30,-0.004019918824588808,1.3940762824242106
4646,2019-05-02,0.00266528317333012,1.3977918904820943
