,date,segmented
0,2019-07-15,"['綠能', '將', '解散', '年底', '前', '資遣', '名', '員工', '大同', '旗下', '太陽能', '矽', '晶圓廠', '綠能', '今日', '宣布', '由於', '晶片', '價格', '崩跌', '已', '暫停', '所有', '產線', '大', '股東', '不', '願', '持續', '投資', '及', '缺乏', '債權銀行', '支持', '下', '造成', '資金', '短缺', '決議', '將', '在', '年底', '前', '資遣', '名', '員工', '並', '召開', '股臨會', '解散', '清算', '財務長', '熊穉麟', '表示', '由於', '太陽能', '產業', '沒', '落', '連帶', '影響', '多', '晶矽', '晶片', '價格', '劇烈', '崩跌', '銷售', '較', '格', '遠', '低於', '成本', '每', '片', '至少', '虧損', '美元', '約元', '目前', '約', '有', '個', '廠房', '已', '抵押', '停止', '所有', '產線', '此外', '綠能', '最', '大', '股東', '大同', '也', '不', '願', '持續', '投資', '缺乏', '債權銀行', '支持', '導致', '公司', '資金', '短缺', '無法', '維持', '營運', '最快', '明天', '向', '北市', '桃園', '勞工局', '提出', '大量', '解雇書', '且', '將', '在', '月', '底', '召開', '臨股會', '討論', '解散', '清算', '及', '資遣', '員工', '的', '方案', '據', '了解', '目前', '綠能', '尚', '有名', '員工', '預計', '月日', '開始', '資遣', '名', '員工', '每', '位', '員工', '依', '年資', '拿', '至', '個月', '不等', '的', '資遣費', '總資遣費', '達', '億', '元', '預計', '今年', '底', '會', '全數', '資遣', '完', '畢', '大同', '財務長', '彭文傑', '表示', '目前', '大同', '已', '於', '每月', '認列', '綠能', '經營', '損益', '狀況', '目前', '由', '會計師', '進行', '第季', '財務報表', '核閱', '損益', '影響', '情形', '仍', '在', '評估', '當中', '尚志', '則', '表示', '投資', '綠能', '的', '損失', '大於', '原始', '投資', '金額', '所', '產生', '的', '投資', '貸餘', '已', '交由', '會計師', '處理', '綠能', '分別', '在', '月日', '和', '日度', '傳出', '因', '換', '票', '方式', '遞延', '票', '據', '債務', '導致', '存款', '不足', '遭', '退票', '票', '據', '往來銀行', '為', '華南銀行', '圓山分行', '綠能', '指出', '目前', '跳票', '事件', '仍', '未', '改善', '太陽能', '產業', '景氣', '不佳', '綠能', '去年', '淨值', '轉為', '負數', '並', '已', '在', '今年', '月初', '下市', '綠', '能', '多', '次', '向', '金管會', '申請', '年', '財報', '申報', '展延', '一', '度', '延至', '月底', '但', '又', '遭', '駁回', '最終', '金管會', '獲准', '延至', '月日']"
1,2019-07-15,"['昆山奇美', '增資案', '客觀', '環境', '改變', '誠美', '材擬', '引進', '外部', '策略', '夥伴', '偏光板', '大廠', '誠美材', '今日', '召開', '重訊', '表示', '因', '整體', '客觀', '環境', '因素', '改變', '原定', '月', '通過', '的', '增資案', '有所', '修正', '擬', '改', '引進', '外部', '策略性', '投資', '夥伴', '以', '提升', '轉', '投資', '昆山奇美', '的', '營運', '績效', '但', '目前', '仍', '無', '具體', '結論', '誠美材', '今年', '月日', '董事會', '通過', '擬', '認購', '間接', '持股', '的', '轉', '投資', '昆山奇美', '材料', '科技', '公司', '現金', '增資', '預計', '投入', '億', '美元', '約', '合', '億', '元', '認購', '上限', '金額', '至', '億', '美元', '該', '增', '資資金', '主要', '用於', '支應', '昆山', '奇', '美材', '二號線', '資本', '支出', '需求', '昆山奇', '美材', '為', '偏光', '板廠', '實', '收資', '本額', '約', '億', '元', '原現', '增案', '預計', '募集', '億', '美元', '資金', '用於', '支應', '二號線', '資本', '支出', '需求', '誠美材', '表示', '當初', '通過', '增資案', '主要', '是', '為了', '解決', '年初', '爆發', '的', '經營權', '之', '爭', '加上', '昆山奇美', '第', '季', '有', '新', '產線', '擴充', '的', '計畫', '不過', '隨著', '經營權', '之', '爭', '日前', '落幕', '因此', '調整', '增資', '計畫', '但', '強調', '新產線', '擴充', '計畫', '不變', '將', '透過', '引進', '外部', '夥伴', '搶攻', '市場', '占', '有率', '目前', '正', '慎選', '策略', '夥伴', '預期', '認購', '價格', '將', '有', '所', '變動', '但', '目前', '不', '方便', '透露', '進', '一', '步', '訊息', '至於', '此', '增資案', '是否', '影響', '昆山奇美', '的', '經營權', '誠美材', '表示', '昆山奇美', '的', '經營', '成效', '市場', '有目', '共睹', '目前', '並', '不', '擔心', '這', '個', '問題', '誠美材', '月', '營收', '達', '億', '元', '月增', '年增', '第季', '營收', '億', '元', '季減', '年', '增', '累計', '今年', '前', '半年', '合併', '營收', '億', '元', '年增']"
2,2019-07-15,"['投信', '連續日', '賣', '超', '個股', '投信', '連續', '日', '賣', '超', '個股', '投信', '連續', '賣', '超日', '的', '股票', '台泥', '亞泥元大', '高', '股息', '遠東新', '長榮航', '投信', '連續', '賣', '超日', '的', '股票', '台泥', '遠東', '新', '元大', '高', '股息', '鴻海友達投信', '當日', '賣', '超', '的', '股票', '遠東新', '台泥', '友達', '元大', '高', '股息', '合勤', '控']"
3,2019-07-15,"['投信', '連續日', '買', '超', '個股', '投信', '連續日', '買', '超', '個股', '投信', '連續', '買', '超日', '的', '股票', '旺宏聯電', '華邦電南亞科元大', '滬深正投信', '連續', '買', '超日', '的', '股票', '旺宏聯電', '華邦電', '南亞科元大', '滬深正投信', '當日', '買超', '的', '股票', '旺宏', '元大', '滬深正南亞科聯電', '日月光', '投控']"
4,2019-07-15,"['外資', '連續日', '賣', '超', '個', '股', '外資', '連續日', '賣', '超', '個', '股', '外資', '連續', '賣', '超日', '的', '股票群', '創', '友達聯電', '大同中信金', '外資', '連續', '賣', '超日', '的', '股票群', '創', '聯電', '友達中信金富邦', '外資', '連續', '賣', '超日', '的', '股票群', '創', '聯電', '中信金', '友達富邦', '外資', '連續', '賣', '超日', '的', '股票', '群創', '聯電', '友達', '中信金', '國泰金', '外資', '當日', '賣', '超', '的', '股票', '中信金', '群創', '聯電', '新光金', '富邦']"
5,2019-07-15,"['外資', '連續日', '買', '超', '個', '股', '外資', '連續日', '買', '超', '個', '股', '外資', '連續', '買', '超日', '的', '股票', '旺宏', '南亞科華通亞泥華邦電', '外資', '連續', '買', '超日', '的', '股票', '旺宏', '南亞科華邦電台積電華通', '外資', '連續', '買', '超日', '的', '股票', '旺宏', '亞科台積電', '華通華邦電', '外資', '連續', '買', '超日', '的', '股票', '旺宏', '南亞科華通台積電', '元大', '滬深', '正', '外資', '當日', '買', '超', '的', '股票', '旺宏', '華通', '和', '鑫', '南亞科元大', '台灣']"
6,2019-07-15,"['外資', '點名', '儒鴻', '併購', '機率', '高集', '盛東隆興', '澄清', '為', '供應商', '關係', '外媒', '報導', '成衣', '大廠', '儒鴻', '將', '透過', '併購', '增加', '競爭力', '外資', '出具', '報告', '點名', '集', '盛東隆興', '可望', '受惠', '不過', '對', '此', '家', '廠商', '均', '澄清', '與', '儒鴻', '僅', '為', '供應商', '與', '客戶', '的', '關係', '彭博', '報導', '儒鴻', '董事長', '洪鎮海', '透露', '目前', '正在', '和', '一', '家', '亞洲', '企業', '談', '併購', '補強', '不足', '並', '開發', '長遠', '經營', '效益', '由於', '這', '也', '是', '近年', '來', '儒鴻', '再', '提', '併購', '也', '引發', '外資', '法人', '高度', '關注', '外資', '出具', '報告', '指出', '儒鴻', '可能', '向', '上', '併購', '紡織', '原料廠', '或是', '利基型', '產品', '製造廠', '其中', '若是', '向', '上', '併購', '點名', '台廠', '中', '的', '集盛東隆興', '被', '併購', '的', '機會', '較', '高', '對', '此', '集盛', '澄清', '雖然', '是', '儒鴻', '的', '上游', '但', '並', '沒有', '併購', '一事', '東隆興', '也', '回應', '目前', '與', '儒鴻', '的', '合作', '關係', '就', '只是', '單純', '的', '供應商', '及', '客戶', '而', '已', '據', '了解', '其實', '儒鴻', '一直', '都', '有', '陸續', '在', '尋求', '併購', '合作', '的', '對象', '與', '機會', '產業', '人士', '推測', '儒鴻', '現在', '也', '在', '強化', '越南', '外', '的', '東南亞', '布局', '當地', '廠商', '也', '有', '可能', '會', '是', '儒鴻', '的', '合作', '對象']"
7,2019-07-15,"['日月光', '投控', '除息', '將', '發出', '億', '元', '現金', '封測', '龍頭', '日月光', '投控', '今日', '宣布', '訂定', '月日', '為', '除息', '交易日', '每', '股', '配發', '現金', '股利元', '股利', '發放', '日', '為', '月日', '預計', '將', '發出', '億', '元', '日月光', '投控', '月', '自', '結合', '併', '營收', '億', '元', '月', '增', '年增', '第季', '合併', '營收', '億', '元', '季增', '累計', '上', '半', '年', '營收', '億', '元', '年增', '主要', '因為', '投控', '是', '在', '去年', '月日', '成立', '上', '年度', '前', '月', '無', '營收', '產生', '日月光', '投控', '日前', '公告', '旗下', '日月光', '矽品', '將', '分別', '買回', '中國紫光集團', '持有', '的', '子公司', '蘇州', '日月', '新', '蘇州', '矽科', '股權', '形同', '雙方', '策略', '結盟', '計畫', '全面', '暫緩', '不過', '日月光', '投控', '表示', '主要', '因應', '紫光', '內部', '營運', '策略', '調整', '雙方', '未來', '仍', '有', '機會', '合作']"
8,2019-07-15,"['郭台銘', '卸任', '董座', '仍力', '挺', '鴻海', '月', '再', '加碼', '張', '連', '月', '買進', '逾', '萬', '張', '鴻海', '創辦人', '郭台銘', '卸任', '董座', '後', '依舊', '用', '行動力', '挺', '鴻海', '月', '在', '再度', '碼', '鴻海', '張', '若', '從', '去年', '月', '起', '計算', '郭台銘', '已經', '連', '個', '月', '買進', '約', '萬', '張', '根據', '公開', '資訊', '觀測站', '資料', '顯示', '郭台銘', '月', '持', '股數', '來到', '萬', '張', '較', '月', '增加', '張持股', '比重', '從', '去年', '月', '起', '加碼', '張數', '突破', '萬', '張', '今日', '國民黨', '總統', '大選', '初選', '結果', '出爐', '郭台銘', '不敵', '高雄', '市長', '韓國瑜', '落選', '由於', '他', '曾', '多', '次', '重申', '不', '回', '鴻海', '接下來', '是否', '將', '脫', '黨', '參選', '到底', '或是', '有', '別', '的', '打算', '也', '成為', '現在', '外界', '關注', '焦點', '郭台銘', '在', '股東會', '交棒', '時', '強調', '不會', '保留', '集團', '總裁', '的', '頭銜', '不會', '再', '回來', '也', '不會', '干涉', '營運', '卸任', '後', '就', '沒有', '身分', '沒有', '立場', '更', '沒有', '資格', '談', '鴻海', '營運', '只是', '一', '個', '客人', '投資者']"
9,2019-07-15,"['倫元', '投顧', '低', '基期', '族群', '可望', '出現', '輪動', '走勢', '盤勢', '分析', '美股', '高檔', '震盪', '後', '收高', '但', '亞股', '似乎', '激情', '不足', '還好', '台股', '表現', '強勢', '盤面', '主流', '記憶體', '成為', '人氣', '焦點', '其中', '又', '以', '旺宏', '兼具', '及任', '天堂', '概念', '相對', '強勢', '記憶體', '的', '轉強', '具備', '低價', '低', '基期', '優勢', '將', '會', '推動', '低價股', '的', '輪動', '盤面', '最', '弱勢', '的', '族群', '又', '回到', '被動', '元件', '外資', '降評', '成為', '主要', '壓力', '來源', '這', '個', '族群', '利空', '頻頻', '短線', '賣壓', '需要', '時間', '消化', '但', '從好', '的', '方面', '來', '說', '利空', '正好', '可以', '測底', '如果', '股價', '不再', '持續', '走弱', '則', '落底', '築底', '的', '機率', '大增', '從線型', '結構', '來', '看', '今日', '低點', '回測', '月線', '支撐', '後', '走高', '雖然', '成交量', '不', '到', '億', '元', '但', '至少', '相當', '接近', '說明', '多頭', '結構', '已經', '紮實', '只要', '後續', '成交量', '能', '保持', '溫和', '遞增', '市場', '人氣', '就', '不致', '轉弱', '基於', '台股', '人氣', '穩定', '回歸', '則', '低', '基期', '族群', '可望', '出現', '輪動', '走勢', '楊天迪', '分析師', '此', '研究', '報告', '著作權', '屬', '倫元證券', '投資', '顧問', '股', '公司', '切勿', '盜用', '或', '翻印', '否則', '追究', '責任', '決', '不', '寬貸', '所有', '資料', '僅', '供', '參考', '本', '公司', '不', '負', '盈虧', '責任', '洽理', '財', '專員']"
